,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,1518,5,3,3,247710.37,Sold,14862.6222"
1,"2,1134,6,3,2,247710.37,Sold,14862.6222"
2,"3,1336,4,2,3,213030.92,Sold,12781.8552"
3,"4,4128,6,2,2,247710.37,Sold,14862.6222"
4,"5,2193,5,1,2,237801.96,Sold,14268.1176"
5,"6,1472,4,3,2,274958.51,Unsold,0"
6,"7,3082,2,1,3,265050.1,Sold,15903.005999999998"
7,"8,3790,6,3,1,247710.37,Unsold,0"
8,"9,2901,5,1,1,274958.51,Unsold,0"
9,"10,2560,2,2,2,247710.37,Unsold,0"
10,"11,3434,5,2,1,247710.37,Unsold,0"
11,"12,2659,2,1,2,260095.89,Unsold,0"
12,"13,2844,4,1,2,245233.27,Sold,14713.9962"
13,"14,3903,5,2,2,247710.37,Unsold,0"
14,"15,4070,6,1,2,257618.79,Sold,15457.1274"
15,"16,3605,3,3,1,284866.93,Sold,17092.015799999997"
16,"17,4880,6,3,2,247710.37,Unsold,0"
17,"18,2409,1,1,1,317069.28,Sold,19024.1568"
18,"19,1706,5,2,2,247710.37,Sold,14862.6222"
19,"20,3717,3,3,3,232847.75,Sold,13970.865"
20,"21,4115,6,1,1,279912.72,Sold,16794.763199999998"
21,"22,2531,5,3,3,247710.37,Sold,14862.6222"
22,"23,2337,4,3,2,274958.51,Unsold,0"
23,"24,1559,6,1,2,242756.16,Unsold,0"
24,"25,3997,2,1,1,307160.86,Unsold,0"
25,"26,4431,6,1,2,257618.79,Sold,15457.1274"
26,"27,3466,6,2,1,247710.37,Sold,14862.6222"
27,"28,4711,4,2,3,217985.13,Sold,13079.1078"
28,"29,1445,6,3,1,247710.37,Sold,14862.6222"
29,"30,2240,4,3,1,267527.2,Unsold,0"
