,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,2462,4,1,1,287344.03,Sold,17240.6418"
1,"2,4974,4,3,2,274958.51,Sold,16497.5106"
2,"3,3602,4,3,1,267527.2,Unsold,0"
3,"4,3134,5,1,2,242756.16,Unsold,0"
4,"5,1140,2,2,3,247710.37,Sold,14862.6222"
5,"6,4769,6,3,2,247710.37,Sold,14862.6222"
6,"7,3772,5,3,3,247710.37,Unsold,0"
7,"8,1131,3,1,3,270004.31,Sold,16200.2586"
8,"9,2051,5,2,3,247710.37,Unsold,0"
9,"10,4656,6,1,1,279912.72,Sold,16794.763199999998"
10,"11,4900,6,3,1,247710.37,Sold,14862.6222"
11,"12,1921,6,3,2,247710.37,Sold,14862.6222"
12,"13,1868,4,3,1,267527.2,Sold,16051.632"
13,"14,2582,6,1,1,274958.51,Sold,16497.5106"
14,"15,2959,6,2,1,247710.37,Sold,14862.6222"
15,"16,3506,6,2,1,247710.37,Sold,14862.6222"
16,"17,2754,3,3,3,227893.54,Sold,13673.6124"
17,"18,2791,6,2,2,247710.37,Sold,14862.6222"
18,"19,1499,5,2,1,247710.37,Sold,14862.6222"
19,"20,4111,5,1,3,245233.27,Sold,14713.9962"
20,"21,2153,4,2,1,262572.99,Sold,15754.379399999998"
21,"22,1566,4,3,3,284866.93,Sold,17092.015799999997"
22,"23,1706,6,3,3,247710.37,Sold,14862.6222"
23,"24,3353,6,2,1,247710.37,Sold,14862.6222"
24,"25,2072,4,3,2,274958.51,Sold,16497.5106"
25,"26,1872,4,3,2,274958.51,Sold,16497.5106"
26,"27,1313,5,2,2,247710.37,Sold,14862.6222"
27,"28,3996,6,3,3,247710.37,Sold,14862.6222"
28,"29,1318,5,3,3,247710.37,Unsold,0"
29,"30,1549,3,1,1,277435.62,Sold,16646.137199999997"
