rooms,floors,baths,lotSize,price,saleResult,commission
1.0,1.0,1.0,1001.0,253830.0,Sold,15229.8
1.0,1.0,1.0,1002.0,243004.0,Sold,14580.24
1.0,1.0,1.0,1005.0,263882.0,Sold,15832.92
1.0,1.0,1.0,1005.0,280878.0,Sold,16852.68
1.0,1.0,1.0,1007.0,227735.0,Sold,13664.1
1.0,1.0,1.0,1012.0,272031.0,Sold,16321.86
1.0,1.0,1.0,1013.0,309301.0,Sold,18558.06
1.0,1.0,1.0,1014.0,254424.0,Sold,15265.44
1.0,1.0,1.0,1014.0,271711.0,Sold,16302.66
1.0,1.0,1.0,1016.0,272615.0,Sold,16356.9
1.0,1.0,1.0,1017.0,255854.0,Sold,15351.24
1.0,1.0,1.0,1018.0,266949.0,Sold,16016.94
1.0,1.0,1.0,1024.0,249273.0,Sold,14956.38
1.0,1.0,1.0,1025.0,277109.0,Sold,16626.54
1.0,1.0,1.0,1025.0,286466.0,Sold,17187.96
1.0,1.0,1.0,1031.0,257198.0,Sold,15431.88
1.0,1.0,1.0,1034.0,265655.0,Sold,15939.3
1.0,1.0,1.0,1034.0,271095.0,Sold,16265.7
1.0,1.0,1.0,1035.0,247743.0,Sold,14864.58
1.0,1.0,1.0,1037.0,271907.0,Sold,16314.42
1.0,1.0,1.0,1039.0,294250.0,Sold,17655.0
1.0,1.0,1.0,1040.0,287255.0,Sold,17235.3
1.0,1.0,1.0,1045.0,262525.0,Sold,15751.5
1.0,1.0,1.0,1054.0,274472.0,Sold,16468.32
1.0,1.0,1.0,1056.0,256494.0,Sold,15389.64
1.0,1.0,1.0,1060.0,247207.0,Sold,14832.42
1.0,1.0,1.0,1062.0,255193.0,Sold,15311.58
1.0,1.0,1.0,1067.0,286702.0,Sold,17202.12
1.0,1.0,1.0,1084.0,244514.0,Sold,14670.84
1.0,1.0,1.0,1091.0,221101.0,Sold,13266.06
1.0,1.0,1.0,1096.0,283086.0,Sold,16985.16
1.0,1.0,1.0,1100.0,294850.0,Sold,17691.0
1.0,1.0,1.0,1105.0,282953.0,Sold,16977.18
1.0,1.0,1.0,1112.0,231687.0,Sold,13901.22
1.0,1.0,1.0,1113.0,240320.0,Sold,14419.2
1.0,1.0,1.0,1114.0,255309.0,Sold,15318.54
1.0,1.0,1.0,1117.0,298120.0,Sold,17887.2
