lotSize,rooms,floors,baths,price,saleResult,commission
3130.0,3.0,3.0,1.0,185538.0,Sold,11132.28
4626.0,4.0,1.0,3.0,169131.0,Unsold,0.0
1164.0,3.0,1.0,1.0,177959.0,Sold,10677.54
2211.0,2.0,2.0,2.0,138436.0,Sold,8306.16
3243.0,6.0,3.0,2.0,192599.0,Sold,11555.94
4859.0,3.0,3.0,3.0,179207.0,Sold,10752.42
3067.0,4.0,1.0,2.0,149908.0,Sold,8994.48
4787.0,4.0,3.0,2.0,186805.0,Sold,11208.3
4249.0,5.0,3.0,2.0,173249.0,Sold,10394.94
1396.0,3.0,2.0,3.0,152119.0,Sold,9127.14
3732.0,4.0,2.0,2.0,162585.0,Sold,9755.1
3467.0,2.0,2.0,1.0,210139.0,Unsold,0.0
3418.0,2.0,2.0,2.0,139326.0,Sold,8359.56
3887.0,5.0,3.0,1.0,194604.0,Sold,11676.24
3117.0,6.0,1.0,2.0,141555.0,Sold,8493.3
2338.0,4.0,3.0,2.0,187390.0,Sold,11243.4
2128.0,6.0,1.0,1.0,164478.0,Sold,9868.68
2295.0,3.0,3.0,1.0,187034.0,Sold,11222.04
4673.0,2.0,1.0,3.0,199706.0,Sold,11982.36
2850.0,3.0,2.0,1.0,161790.0,Sold,9707.4
4401.0,6.0,3.0,1.0,208889.0,Unsold,0.0
3534.0,3.0,1.0,2.0,170830.0,Sold,10249.8
1398.0,4.0,3.0,1.0,171979.0,Sold,10318.74
4276.0,6.0,3.0,1.0,214236.0,Unsold,0.0
3324.0,2.0,1.0,2.0,155512.0,Unsold,0.0
1320.0,2.0,1.0,2.0,173693.0,Sold,10421.58
4040.0,3.0,2.0,1.0,166721.0,Sold,10003.26
4897.0,4.0,1.0,3.0,183670.0,Unsold,0.0
2889.0,1.0,1.0,2.0,188397.0,Unsold,0.0
2153.0,3.0,1.0,2.0,174972.0,Sold,10498.32
1633.0,4.0,3.0,3.0,147085.0,Sold,8825.1
4337.0,6.0,2.0,1.0,190579.0,Unsold,0.0
4211.0,4.0,1.0,1.0,204114.0,Sold,12246.84
3737.0,4.0,1.0,2.0,153586.0,Sold,9215.16
2719.0,2.0,2.0,2.0,138555.0,Sold,8313.3
2335.0,5.0,2.0,3.0,152825.0,Sold,9169.5
1752.0,6.0,1.0,1.0,171626.0,Sold,10297.56
3458.0,6.0,1.0,1.0,169185.0,Sold,10151.1
2337.0,4.0,3.0,2.0,184350.0,Sold,11061.0
2045.0,5.0,3.0,2.0,169191.0,Sold,10151.46
3433.0,3.0,2.0,3.0,155329.0,Sold,9319.74
2460.0,3.0,1.0,3.0,165761.0,Sold,9945.66
3300.0,6.0,3.0,3.0,182476.0,Sold,10948.56
2948.0,2.0,2.0,3.0,138229.0,Unsold,0.0
4887.0,2.0,1.0,1.0,223976.0,Sold,13438.56
1172.0,3.0,3.0,1.0,195101.0,Sold,11706.06
